card,cardType,level,DE,EN,UK,RU
1-11,answer,,"Ein aggressiver und leicht verwirrter Typ steht davor und holt mit einem Baseballschläger aus. Der Mann ist gerade dabei, den Wagen zu demolieren. Die zerstörte Rückscheibe geht wahrscheinlich bereits auf seine Kappe, die Security ist im Anmarsch. Interessanterweise wurden vor rund einer Stunde vor dem Haupteingang im Südosten bereits zwei weitere Muscle Cars demoliert. Das schauen wir uns mal genauer an ...","An aggressive and slightly confused guy is standing in front of it, swinging a baseball bat. The man is currently demolishing the car. The shattered rear window is probably already his doing; security is on the way. Interestingly, about an hour ago, two other muscle cars were already demolished in front of the main entrance in the southeast. Let's take a closer look at that...","Агресивний і трохи розгублений хлопець стоїть перед ним і замахується бейсбольною битою. Чоловік якраз крушить автівку. Розбите заднє скло, ймовірно, вже на його рахунку, охорона вже в дорозі. Цікаво, що близько години тому перед головним входом на південному сході вже було розгромлено ще два маслкари. Розгляньмо це детальніше...","Агрессивный и слегка растерянный парень стоит перед ним и замахивается бейсбольной битой. Мужчина как раз крушит машину. Разбитое заднее стекло, вероятно, уже на его счету, охрана уже в пути. Интересно, что около часа назад перед главным входом на юго-востоке уже было разгромлено еще два масл-кара. Рассмотрим это поподробнее..."
1-12,image,,"[Bildkarte mit Polizeiwagen, Taxi, Muscle Car und weiteren Fahrzeugen]","[Image card with police cars, taxi, muscle car, and other vehicles]","[Графічна карта з поліцейськими машинами, таксі, маслкаром та іншими автівками]","[Графическая карта с полицейскими машинами, такси, масл-каром и другими автомобилями]"
1-13,image,,[Bildkarte mit Ballwurfspiel / Darts am Spooky Festival],[Image card showing ball toss game / darts at the Spooky Festival],[Графічна карта з грою в збивання банок або дартс на Spooky Festival],[Графическая карта с игрой в сбивание банок или дартс на Spooky Festival]
1-14,question,3,"Als neunmalkluges Ermittlungsteam geht uns ein Licht auf: Bei dem Mann mit dem Baseballschläger handelt es sich höchstwahrscheinlich um den Täter, der auch vor dem Haupteingang gewütet hat.
Frage: Wie kommen wir darauf – und was ist sein Motiv?","As a smart investigative team, it dawns on us: the man with the baseball bat is highly likely the culprit who also went on a rampage in front of the main entrance.
Question: How did we deduce this – and what is his motive?","Як розумній команді слідчих, нам стає все зрозуміло: чоловік із бейсбольною битою, швидше за все, є тим самим зловмисником, який також лютував перед головним входом.
Запитання: Як ми до цього дійшли — і який його мотив?","Как сообразительной команде следователей, нам становится все ясно: мужчина с бейсбольной битой, скорее всего, является тем самым злоумышленником, который также свирепствовал перед главным входом.
Вопрос: Как мы к этому пришли — и каков его мотив?"
1-15,answer,,"Der Wagen auf dem Podest hat eine Siegerschleife. Das nebenstehende Poster klärt auf: 1. Platz beim „Coolest Car Ever Contest“. Auf Sonderkarte 1.12 sehen wir die beiden bereits demolierten Muscle Cars, sie haben Siegerschleifen der Plätze 2 und 3. Das Muscle Car auf Sonderkarte 1.13 ist heil und hat keine Siegerschleife, dafür aber große Herz-Sticker mit „I love my car“ und „Lucy“. Das „Lucy“-Herz finden wir auf dem Rücken des verdächtigen Mannes wieder. Ergo: Das heile Auto gehört ihm. Sein Tatmotiv: Frust darüber, dass er mit seiner heißgeliebten „Lucy“ nicht prämiert wurde.","The car on the pedestal has a winner's ribbon. The adjacent poster explains: 1st place in the 'Coolest Car Ever Contest'. On special card 1.12 we see the two already demolished muscle cars, they have winner's ribbons for 2nd and 3rd place. The muscle car on special card 1.13 is undamaged and has no winner's ribbon, but it has large heart stickers saying 'I love my car' and 'Lucy'. We find the same 'Lucy' heart on the back of the suspect. Ergo: the undamaged car belongs to him. His motive: frustration that his beloved 'Lucy' didn't win an award.","Машина на постаменті має стрічку переможця. Плакат поруч пояснює: 1-е місце в конкурсі «Coolest Car Ever Contest». На спеціальній карті 1.12 ми бачимо два вже понівечені маслкари, вони мають стрічки за 2-е та 3-є місця. Маслкар на спеціальній карті 1.13 цілий і не має стрічки, але на ньому великі наклейки-сердечка з написом «I love my car» та «Lucy». Серце «Lucy» ми знаходимо на спині підозрілого чоловіка. Отже, ціла машина належить йому. Його мотив: розчарування тим, що його палко кохана «Люсі» не отримала нагороди.","Машина на постаменте имеет ленту победителя. Плакат рядом объясняет: 1-е место в конкурсе «Coolest Car Ever Contest». На специальной карте 1.12 мы видим два уже искореженных масл-кара, у них ленты за 2-е и 3-е места. Масл-кар на специальной карте 1.13 цел и не имеет ленты, но на нем большие наклейки-сердечки с надписью «I love my car» и «Lucy». Сердце «Lucy» мы находим на спине подозрительного мужчины. Следовательно, уцелевшая машина принадлежит ему. Его мотив: разочарование тем, что его горячо любимая «Люси» не получила награды."
1-16,question,2,"Der Abend kommt langsam in Schwung. Unser Gefühl sagt uns zwar, dass der Mann nichts mit der Serie von Sabotageakten zu tun hat. Trotzdem, Autos zertrümmern ist idiotisch und retro. Wir lassen die Handschellen klicken und übergeben den Mann der Streifenpolizei. Praktischerweise stehen zwei Streifenwagen direkt vorm Haupteingang. Die werten Kolleginnen und Kollegen belehren offenbar gerade eine fünfköpfige Biker-Gruppe in puncto Falschparken.
Frage: Wo stehen die fünf Motorräder – und welches davon ist besonders dämlich geparkt?","The evening is slowly getting into swing. Although our gut feeling tells us that this man has nothing to do with the series of sabotage acts, smashing cars is still idiotic and uncool. We click the handcuffs shut and hand the man over to the patrol police. Conveniently, two police cars are parked right in front of the main entrance. Our dear colleagues seem to be lecturing a five-member biker group about illegal parking.
Question: Where are the five motorcycles parked – and which one of them is parked in an especially stupid way?","Вечір потроху розкручується. Хоча інтуїція каже нам, що цей чоловік не має стосунку до серії саботажів, усе ж трощити машини — це ідіотизм і пережиток минулого. Ми замикаємо кайдани та передаємо хулігана патрульній поліції. Зручно, що дві патрульні машини стоять прямо перед головним входом. Наші шановні колеги якраз вичитують групу з п'яти байкерів за неправильне паркування.
Запитання: Де стоять ці п'ять мотоциклів — і який із них припаркований особливо безглуздо?","Вечер понемногу разгорается. Хотя интуиция говорит нам, что этот мужчина не имеет отношения к серии саботажей, все же крушить машины — это идиотизм и пережиток прошлого. Мы защелкиваем наручники и передаем хулигана патрульной полиции. К счастью, две патрульные машины стоят прямо перед главным входом. Наши уважаемые коллеги как раз вычитывают группу из пяти байкеров за неправильную парковку.
Вопрос: Где стоят эти пять мотоциклов — и какой из них припаркован особенно нелепо?"
1-17,answer,,"Zwei Motorräder stehen bei ihnen. Die Besitzerin und der Besitzer sind farblich perfekt auf ihr jeweiliges Gefährt abgestimmt, was uns zu den drei anderen Motorrädern führt: Das grüne steht neben dem Regenbogen-Wohnwagen, das orange-türkise auf Faltplan Norden oben links zwischen den Bäumen und das rote mit dem Prädikat „besonders dämlich geparkt“ blockiert im Parkverbot den Gehweg vorm Asia Restaurant. Zur Abwechslung mal wieder eine Falschparkerin überführt. Den lästigen Papierkram überlassen wir folgerichtig unseren Kolleginnen und Kollegen von der Streifenpolizei und treten den Rückzug an.","Two motorcycles are with them. The owners are perfectly color-coordinated with their respective vehicles, which leads us to the other three motorcycles: the green one stands next to the rainbow caravan, the orange-turquoise one is on the northern map on the top left between the trees, and the red one, deemed 'especially stupidly parked,' blocks the sidewalk in a no-parking zone in front of the Asia restaurant. For a change, we've caught another illegal parker. Quite logically, we leave the annoying paperwork to our patrol officer colleagues and beat a retreat.","Два мотоцикли стоять біля них. Власниця та власник ідеально пасують за кольором до своїх засобів пересування, що веде нас до трьох інших мотоциклів: зелений стоїть біля райдужного трейлера, помаранчево-бірюзовий — на північній карті вгорі ліворуч між деревами, а червоний із клеймом «особливо безглуздо припаркований» блокує пішохідну зону перед азійським рестораном у забороненій для паркування зоні. Для різноманітності ми знову зловили порушницю паркування. Паперову тяганину ми логічно залишаємо патрульним і відступаємо.","Два мотоцикла стоят возле них. Владелица и владелец идеально подходят по цвету к своим средствам передвижения, что ведет нас к трем другим мотоциклам: зеленый стоит возле радужного трейлера, оранжево-бирюзовый — на северной карте вверху слева между деревьями, а красный со статусом «особенно нелепо припаркован» блокирует пешеходную зону перед азиатским рестораном в запрещенной для парковки зоне. Для разнообразия мы снова поймали нарушительницу парковки. Бумажную волокиту мы логично оставляем патрульным и отступаем."
1-18,question,1,"Wir lassen unseren Blick wieder über das Gelände schweifen. Aber, aber – wer wird denn gleich weinen ...
Frage: Wo sehen wir den größten aller Einhorn-Fans – und wieso ist er so verzweifelt?","We let our gaze wander over the grounds again. But, dear, who is about to cry...
Question: Where do we see the biggest of all unicorn fans – and why is he so desperate?","Ми знову окидаємо поглядом територію. Але-але, хто це тут зібрався плакати...
Запитання: Де ми бачимо найбільшого фаната єдинорогів — і чому він у такому розпачі?","Мы снова окидываем взглядом территорию. Но-но, кто это тут собрался плакать...
Вопрос: Где мы видим самого преданного фаната единорогов — и почему он в таком отчаянии?"
1-19,answer,,"Die Rede ist von einem riesigen Mann, der von Kopf bis Fuß in Einhorn-Klamotten steckt. Er hockt im Kinderkarussell – natürlich auf einem Einhorn – und würde liebend gern darauf mitfahren. Doch ausgerechnet heute ist das Karussell außer Betrieb, wie das Schild mit der Aufschrift „Closed“ verkündet. „Waruuuuuum??!“ jault der Mann, der sich uns als Dave vorstellt.","We are talking about a huge man dressed from head to toe in unicorn clothes. He is sitting on the children's carousel – on a unicorn, of course – and would love to ride it. But today of all days, the carousel is out of service, as the sign saying 'Closed' announces. 'Whyyyyy??!' howls the man, who introduces himself to us as Dave.","Йдеться про величезного чоловіка, одягненого з голови до ніг у речі з єдинорогами. Він сидить на дитячій каруселі — звичайно ж, на єдинорозі — і дуже хотів би покататися. Але саме сьогодні карусель не працює, про що свідчить табличка з написом «Closed» (Зачинено). «Чому-у-у-у??!» — виє чоловік, який відрекомендувався нам як Дейв.","Речь идет об огромном мужчине, одетом с ног до головы в вещи с единорогами. Он сидит на детской карусели — конечно же, на единороге — и очень хотел бы покататься. Но именно сегодня карусель не работает, о чем гласит табличка с надписью «Closed» (Закрыто). «Почему-у-у-у??!» — воет мужчина, представившийся нам как Дейв."
1-20,question,3,"Dave schluchzt: „Ich bin heute satte 14 Stunden mit dem Auto angereist! Einzig und allein, um noch einmal auf dem Einhorn mitzufahren, auf dem ich als Kind schon sooft gesessen habe. Wie ätzend! Scheißladen!“
Frage: Aus welcher Stadt kam Dave angereist?","Dave sobs: 'I traveled for a whopping 14 hours by car today! Solely to ride once again on the unicorn that I sat on so often as a child. How annoying! Crappy place!'
Question: From which city did Dave travel?","Дейв схлипує: «Я сьогодні їхав цілих 14 годин машиною! Тільки заради того, щоб ще раз покататися на єдинорозі, на якому я в дитинстві так часто сидів. Яка ж гидота! Дурний парк!»
Запитання: З якого міста приїхав Дейв?","Дейв всхлипывает: «Я сегодня ехал целых 14 часов на машине! Только ради того, чтобы еще раз покататься на единороге, на котором я в детстве так часто сидел. Какая гадость! Дурацкий парк!»
Вопрос: Из какого города приехал Дейв?"
1-21,answer,,"Dave kam aus Thafex Town angereist. Zu dieser Aussage gelangen wir durch eine Meisterleistung unserer Kombinations- und Deduktionsgabe: Auf Sonderkarte 1.12 stehen drei Fahrzeuge mit Einhorn-Aufklebern. Scheint irgendwie sein Ding zu sein ... Der rosafarbene Pickup-Truck gehört Dave, denn der Einhorn-Sticker ist identisch zu dem Print auf seinem Hemd. An der Seite dieses Pickup-Trucks prangt noch ein zweiter großer Sticker mit der Aufschrift „TF Town“ und eine große Tourismus-Werbetafel auf dem Häuserdach oberhalb des Wagens klärt uns darüber auf, dass TF Town für Thafex Town steht. Quod erat demonstrandum.","Dave traveled from Thafex Town. We arrive at this statement through a masterpiece of our skills of deduction: on special card 1.12, there are three vehicles with unicorn stickers. Seems to be his thing... The pink pickup truck belongs to Dave, because the unicorn sticker is identical to the print on his shirt. On the side of this pickup truck, there is a second large sticker with the inscription 'TF Town', and a large tourism billboard on the roof of the building above the car clarifies that TF Town stands for Thafex Town. Quod erat demonstrandum.","Дейв приїхав з міста Тафекс Таун. Цього висновку ми дійшли завдяки шедевру нашої спостережливості та дедукції: на спеціальній карті 1.12 є три автомобілі з наклейками єдинорогів. Схоже, це його фішка... Рожевий пікап належить Дейву, адже стрічка-наклейка з єдинорогом ідентична малюнку на його сорочці. На борту цього пікапа красується ще одна велика наклейка з написом «TF Town», а великий туристичний білборд на даху будівлі над машиною пояснює, що TF Town означає Thafex Town. Що й треба було довести (Quod erat demonstrandum).","Дейв приехал из города Тафекс Таун. К этому выводу мы пришли благодаря шедевру нашей наблюдательности и дедукции: на специальной карте 1.12 есть три автомобиля с наклейками единорогов. Похоже, это его фишка... Розовый пикап принадлежит Дейву, ведь наклейка с единорогом идентична принту на его рубашке. На борту этого пикапа красуется еще одна крупная наклейка с надписью «TF Town», а большой туристический рекламный щит на крыше здания над машиной поясняет, что TF Town расшифровывается как Thafex Town. Что и требовалось доказать (Quod erat demonstrandum)."
1-22,question,2,"Wir versuchen Dave aufzuheitern, indem wir ihn auf die süßen Einhorn-Hüpftiere hinweisen, die hier überall verstreut herumstehen. Dave blickt uns hoffnungsvoll an: „Ehrlich? Ist zwar nicht dasselbe wie eine Karussellfahrt, aber immer noch besser als nichts.“
Frage: Welches der Einhorn-Hüpftiere wird gerade liebevoll in den Schwitzkasten genommen, welches einem Belastungstest unterzogen und welches will besonders hoch hinaus?","We try to cheer Dave up by pointing out the cute unicorn hopper toys scattered all over the grounds. Dave looks at us hopefully: 'Really? It's not the same as a carousel ride, but still better than nothing.'
Question: Which of the unicorn hoppers is currently being lovingly held in a headlock, which one is undergoing a stress test, and which one wants to aim especially high?","Ми намагаємося підняти настрій Дейву, вказуючи на милі стрибунці-єдинороги, що розкидані по всій території. Дейв дивиться на нас із надією: «Справді? Це, звісно, не те саме, що карусель, але все ж краще, ніж нічого».
Запитання: Якого з єдинорогів-стрибунців зараз ніжно душать в обіймах (беруть у захват), якого піддають випробуванню на міцність, а який прагне злетіти найвище?","Мы пытаемся поднять Дейву настроение, указывая на милые надувные игрушки-прыгуны в виде единорогов, разбросанные по всей территории. Дейв смотрит на нас с надеждой: «Правда? Это, конечно, не то же самое, что карусель, но все же лучше, чем ничего».
Вопрос: Какого из единорогов-прыгунов сейчас нежно берут в удушающий захват, какого подвергают испытанию на прочность, а какой хочет взлететь выше всех?"
