card,cardType,level,DE,EN,UK,RU
1-11,question,2,"Wir amüsieren uns über Rons ""Zeichenkünste"". Leicht gekränkt erwidert er: ""Jaja, witzelt nur. Aber hier geht's nicht um irgendwelche Schönheitspreise, sondern um archäologisches Verständnis. Kleiner Test gefällig?""
Frage: Wie heißt laut Rons Zeichnung das Gebäude mit der roten Tür?","We make fun of Ron's 'drawing skills'. Slightly offended, he replies: 'Yeah, keep joking. But this isn't about beauty contests, it's about archaeological understanding. Want a little test?'
Question: According to Ron's drawing, what is the name of the building with the red door?","Ми кепкуємо з «художніх здібностей» Рона. Трохи ображено він відповідає: «Та ладно вам, жартуйте далі. Але тут ідеться не про конкурси краси, а про археологічне розуміння. Хочете маленький тест?»
Запитання: Як за малюнком Рона називається будівля з червоними дверима?","Мы подшучиваем над «художественными способностями» Рона. Немного обиженно он отвечает: «Да ладно вам, шутите дальше. Но здесь речь идет не о конкурсах красоты, а об археологическом понимании. Хотите маленький тест?»
Вопрос: Как по рисунку Рона называется здание с красной дверью?"
1-12,answer,,"Das Steuerrad auf dem Dach verrät es: Das Gebäude mit der roten Tür ist die kleine Hütte mit Vordach, von Ron wohlweislich als ""Kapitänshaus"" bezeichnet.","The steering wheel on the roof gives it away: The building with the red door is the small hut with a canopy, wisely labeled 'Kapitänshaus' (Captain's House) by Ron.","Штурвал на даху підказує нам: будівля з червоними дверима — це маленька хатина з навісом, яку Рон розсудливо назвав «капітанським будинком» («Kapitänshaus»).","Штурвал на крыше подсказывает нам: здание с красной дверью — это маленькая хижина с навесом, которую Рон благоразумно назвал «капитанским домом» («Kapitänshaus»)."
1-13,question,1,"Ron nickt anerkennend. ""Ihr seid ja doch aufgeweckter, als ich dachte. Eine schräge Mischung hier, oder? Die Gebäude stammen aus ganz unterschiedlichen Zeiten.""
Frage: Wann wurde die Kirche erbaut?","Ron nods appreciatively. 'You are sharper than I thought. A strange mix here, right? The buildings come from very different times.'
Question: When was the church built?","Рон схвально киває. «А ви кмітливіші, ніж я думав. Дивна тут суміш, правда? Будівлі належать до зовсім різних епох».
Запитання: Коли була побудована церква?","Рон одобрительно кивает. «А вы сообразительнее, чем я думал. Странная тут смесь, правда? Здания относятся к совершенно разным эпохам».
Вопрос: Когда была построена церковь?"
1-14,answer,,"Neben den Eingangsstufen der Kirche liegt ein großer Eckstein. Die Inschrift besagt, dass sie anno 1689 erbaut wurde.",Next to the entrance steps of the church lies a large cornerstone. The inscription states that it was built in the year 1689.,"Біля вхідних сходів церкви лежить великий наріжний камінь. Напис на ньому свідчить, що вона була побудована у 1689 році.","Возле входных ступеней церкви лежит большой краеугольный камень. Надпись на нем гласит, что она была построена в 1689 году."
1-15,question,1,"Ron kneift die Augen zusammen: ""Hä?! Schaut mal, dieses Teil da oben im Kirchturm. Das ist mir vorher noch gar nicht aufgefallen. Wie das wohl dahingekommen ist ...""
Frage: Was steckt in einer der Fensteröffnungen des Kirchturms – und woher stammt es?","Ron squints his eyes: 'Huh?! Look at that part up there in the church tower. I didn't notice that before. I wonder how it got there ...'
Question: What is stuck in one of the window openings of the church tower – and where does it come from?","Рон мружить очі: «Га?! Погляньте на ту деталь угорі на дзвіниці. Раніше я її взагалі не помічав. Цікаво, як вона туди потрапила...»
Запитання: Що застрягло в одному з віконних отворів церковної дзвіниці та звідки воно взялося?","Рон щурит глаза: «А?! Посмотрите на ту деталь вверху на колокольне. Раньше я ее вообще не замечал. Интересно, как она туда попала...»
Вопрос: Что застряло в одном из оконных проемов церковной колокольни и откуда оно взялось?"
1-16,answer,,In einer der Fensteröffnungen des Kirchturms steckt ein Propeller. Anhand der gelben Streifen lässt er sich dem Flugzeugwrack im Nordwesten der Insel zuordnen.,"A propeller is stuck in one of the window openings of the church tower. Based on the yellow stripes, it can be matched to the plane wreck in the northwest of the island.",В одному з віконних отворів дзвіниці застряг пропелер. За жовтими смугами його можна ідентифікувати як частину уламків літака на північному заході острова.,В одном из оконных проемов колокольни застрял пропеллер. По желтым полосам его можно идентифицировать как часть обломков самолета на северо-западе острова.
1-17,question,2,"Neugierig geworden, laufen wir hinüber zum Flugzeugwrack. Es sieht ziemlich zerstört aus. Notlandung, Bruchlandung, Absturz? Anscheinend ist der Propeller im Kirchturm nicht das einzige auf der Insel verstreute Wrackteil des Flugzeugs. Vier weitere sind erkennbar.
Frage: Wo befinden sich diese vier Wrackteile?","Becoming curious, we run over to the plane wreck. It looks quite destroyed. Emergency landing, crash landing, crash? Apparently, the propeller in the church tower is not the only plane wreck part scattered across the island. Four more are visible.
Question: Where are these four wreck parts located?","Цікавість перемагає, і ми біжимо до уламків літака. Він виглядає вщент зруйнованим. Вимушена посадка, аварія чи катастрофа? Схоже, пропелер на церковній дзвіниці — не єдиний уламок літака, розкиданий по острову. Видно ще чотири частини.
Запитання: Де саме розташовані ці чотири уламки?","Любопытство побеждает, и мы бежим к обломкам самолета. Он выглядит полностью разрушенным. Вынужденная посадка, авария или крушение? Похоже, пропеллер на церковной колокольне — не единственный обломок самолета, разбросанный по острову. Видны еще четыре части.
Вопрос: Где именно находятся эти четыре обломка?"
1-18,answer,,"Ein Wrackteil liegt auf dem Dach des weißen Matrosenhauses, eines neben dem Friedhof, ein Flügelteil steckt im Leuchtturm und ein weiterer Propeller liegt auf dem Dach der grünen Finca.","One wreck part lies on the roof of the white sailor's house, one next to the cemetery, a wing part is stuck in the lighthouse, and another propeller lies on the roof of the green finca.","Один уламок лежить на даху білого будинку матросів, один — біля кладовища, частина крила застрягла в маяку, а ще один пропелер лежить на даху зеленої фінки (вілли).","Один обломок лежит на крыше белого дома матросов, один — возле кладбища, часть крыла застряла в маяке, а еще один пропеллер лежит на крыше зеленой финки (виллы)."
1-19,question,1,"Die Insassen des Flugzeugwracks hatten vermutlich weniger Glück als wir: Trotz Turbulenzen ist unsere Gruppe unbeschadet gelandet. Unter einer Palme sitzt Reisebloggerin Thea mit ihrem Laptop auf dem Schoß und stammelt vor sich hin: ""Warum das alles?! Wie sind wir bloß hierhergekommen?"" Die Ärmste – sie ist schon seit gestern Abend völlig verwirrt und niedergeschlagen. Tröstend beantworten wir ihre Frage.
Frage: Wie sind wir auf die Insel gekommen?","The occupants of the plane wreck probably had less luck than us: despite turbulence, our group landed unscathed. Under a palm tree sits travel blogger Thea with her laptop on her lap, stammering to herself: 'Why all of this?! How on earth did we get here?' Poor thing – she has been completely confused and dejected since yesterday evening. Comfortingly, we answer her question.
Question: How did we get to the island?","Пасажирам літака, ймовірно, пощастило менше, ніж нам: попри турбулентність, наша група приземлилася неушкодженою. Під пальмою сидить тревел-блогерка Теа з ноутбуком на колінах і бурмоче: «Чому це все?! Як ми взагалі сюди потрапили?» Бідолаха — вона ще вічора ввечері повністю розгублена та пригнічена. Заспокоюючи її, ми відповідаємо на її запитання.
Запитання: Як ми потрапили на острів?","Пассажирам самолета, вероятно, повезло меньше, чем нам: несмотря на турбулентность, наша группа приземлилась невредимой. Под пальмой сидит тревел-блогер Теа с ноутбуком на коленях и бормочет: «Почему это всё?! Как мы вообще сюда попали?» Бедняжка — она еще со вчерашнего вечера полностью растеряна и подавлена. Успокаивая ее, мы отвечаем на ее вопрос.
Вопрос: Как мы попали на остров?"
1-20,answer,,"Wie bereits erwähnt, sind wir unbeschadet gelandet – mit dem gelben Wasserflugzeug im Osten der Insel. Um alle Personen samt Ausrüstung herzubringen, waren zwei Flüge notwendig.","As already mentioned, we landed unscathed – with the yellow seaplane in the east of the island. To bring all people and equipment here, two flights were necessary.","Як уже зазначалося, ми приземлилися неушкодженими — на жовтому гідролітаку на сході острова. Щоб доставити всіх людей разом із обладнанням, знадобилося два авіарейси.","Как уже упоминалось, мы приземлились невредимыми — на желтом гидросамолете на востоке острова. Чтобы доставить всех людей вместе со снаряжением, потребовалось два авиарейса."
1-21,question,3,"Mika, unsere exzentrische Pilotin im grünen Rennfahrer-Outfit, schleppt gerade mal wieder sinnlos Kartons durch die Gegend. Genauer gesagt: Sie lässt schleppen. Denn Rodrick, weltgrößter Abenteurer, ist ihr hörig und packt kräftig mit an. Mika ruft uns zu: „Ey Leute, irgendwie hab ich das Gefühl, dass einer unserer Kartons weg ist.“
Frage: Wie viele nummerierte Kartons mit Flugzeug-Symbol sehen wir auf der Insel – und welcher fehlt?","Mika, our eccentric pilot in the green racing outfit, is once again dragging boxes around pointlessly. More precisely: she has them dragged. Rodrick, the world's greatest adventurer, is devoted to her and helps out a lot. Mika calls out to us: 'Hey guys, somehow I have a feeling that one of our boxes is gone.'
Question: How many numbered boxes with the plane symbol do we see on the island – and which one is missing?","Міка, наша ексцентрична пілотка в зеленому комбінезоні гонщиці, знову безглуздо тягає коробки туди-сюди. Точніше кажучи: змушує тягати. Адже Родрік, «найвеличніший шукач пригод у світі», слухається її у всьому й активно допомагає. Міка кричить нам: «Гей, народ, у мене якесь таке відчуття, що одна з наших коробок зникла».
Запитання: Скільки пронумерованих коробок із символом літака ми бачимо на острові та якої саме не вистачає?","Мика, наш эксцентричный пилот в зеленом комбинезоне гонщицы, снова бессмысленно таскает коробки туда-сюда. Точнее говоря: заставляет таскать. Ведь Родрик, «величайший искатель приключений в мире», слушается ее во всем и активно помогает. Мика кричит нам: «Эй, народ, у меня какое-то такое ощущение, что одна из наших коробок пропала».
Вопрос: Сколько пронумерованных коробок с символом самолета мы видим на острове и какой именно не хватает?"
1-22,answer,,"Die Kartons mit Flugzeug-Symbol haben rote Zahlen. Wir können insgesamt sieben Stück ausfindig machen: Karton 1 steht vor dem blauen SUV, Karton 2 steht zwischen Kirche und Buswrack, Karton 3 zwischen Kirche und Lagune und Karton 5 auf dem Dach des Toilettenhauses. Karton 6 hält Abenteurer Rodrick in den Händen, Karton 7 steht unter der Hängebrücke und Karton 8 auf dem Friedhof. Der Karton mit der Nummer 4 fehlt. Mika ist verärgert: „Gibt's doch nicht! Momentchen mal, ich hab hier eine Gepäckliste. Damit sollten wir schnell herausfinden, wem der fehlende Karton gehört.“","The boxes with the plane symbol have red numbers. We can find a total of seven items: Box 1 stands in front of the blue SUV, Box 2 stands between the church and the bus wreck, Box 3 between the church and the lagoon, and Box 5 on the roof of the toilet building. Box 6 is held by adventurer Rodrick, Box 7 is under the suspension bridge, and Box 8 is on the cemetery. Box number 4 is missing. Mika is annoyed: 'Unbelievable! Wait a minute, I have a luggage list here. With it, we should quickly find out who the missing box belongs to.'","Коробки з символом літака мають червоні номери. Загалом ми можемо знайти сім штук: коробка 1 стоїть перед синім позашляховиком, коробка 2 — між церквою та уламками автобуса, коробка 3 — між церквою та лагуною, коробка 5 — на даху вбиральні. Коробку 6 тримає в руках шукач пригод Родрік, коробка 7 стоїть під підвісним мостом, а коробка 8 — на кладовищі. Коробки з номером 4 немає. Міка роздратована: «Та ладно! Зачекайте хвилинку, у мене є список багажу. З його допомогою ми швидко дізнаємося, кому належить відсутня коробка».","Коробки с символом самолета имеют красные номера. Всего мы можем найти семь штук: коробка 1 стоит перед синим внедорожником, коробка 2 — между церковью и обломками автобуса, коробка 3 — между церковью и лагуной, коробка 5 — на крыше уборной. Коробку 6 держит в руках искатель приключений Родрик, коробка 7 стоит под подвесным мостом, а коробка 8 — на кладбище. Коробки с номером 4 нет. Мика раздражена: «Да ладно! Секундочку, у меня есть список багажа. С его помощью мы быстро узнаем, кому принадлежит недостающая коробка»."
1-23,image,,[Bild: GEPÄCKLISTE mit Karton-Nr. 1 bis 10 und Besitzern],[Image: LUGGAGE LIST showing Box Nos. 1 to 10 and their owners],[Зображення: СПИСОК БАГАЖУ з номерами коробок від 1 до 10 та їхніми власниками],[Изображение: СПИСОК БАГАЖА с номерами коробок от 1 до 10 и их владельцами]
1-24,question,2,"Mika wendet sich ab, wir schauen uns die Gepäckliste an.
Frage: Wem gehört Karton Nummer 4 – und wo ist die entsprechende Person gerade?","Mika turns away, and we look at the luggage list ...
Question: Who does Box Number 4 belong to – and where is that person right now?","Міка відвертається, а ми розглядаємо список багажу...
Запитання: Кому належить коробка номер 4 та де саме зараз перебуває ця людина?","Мика отворачивается, а мы рассматриваем список багажа...
Вопрос: Кому принадлежит коробка номер 4 и где именно сейчас находится этот человек?"
1-25,answer,,"Laut Gepäckliste gehört Karton Nummer 4 zu Stella, der Fotografin. Drei Personen auf der Insel haben eine Kamera bei sich, zwei davon allerdings auch einen recht üppigen Bartwuchs. Ergo: Stella ist die Frau mit dem orangen Hut, die neben dem weißen Matrosenhaus steht. Sie ist gerade im Gespräch mit Joe, ihrem Assistenten. Wir weisen sie auf den fehlenden Karton hin. Sie reagiert genervt: „Wie bitte was? Wie kann das sein?! Ich will sofort mit Kerry-Ann sprechen, sagt ihr das! Und bei der Gelegenheit drückt ihr bitte diese beiden Fotos in die Hand – die sollte ich unbedingt für sie machen.“","According to the luggage list, Box Number 4 belongs to Stella, the photographer. Three people on the island have a camera with them, but two of them also have quite a lush beard growth. Ergo: Stella is the woman with the orange hat standing next to the white sailor's house. She is currently in a conversation with Joe, her assistant. We point out the missing box to her. She reacts annoyed: 'Say what? How can that be?! I want to speak to Kerry-Ann immediately, tell her that! And while you're at it, please give her these two photos – I was supposed to take them for her.'","Згідно зі списком багажу, коробка номер 4 належить Стеллі, фотографці. Три людини на острові мають при собі фотокамеру, проте двоє з них мають досить густу бороду. Отже: Стелла — це жінка в помаранчевому капелюсі, яка стоїть біля білого будинку матросів. Зараз вона розмовляє зі своїм асистентом Джо. Ми повідомляємо їй про відсутню коробку. Вона роздратовано реагує: «Що-що? Як таке можливо?! Я хочу негайно поговорити з Керрі-Енн, так їй і перекажіть! І при нагоді передайте їй у руки ці два знімки — вона дуже просила мене їх зробити».","Согласно списку багажа, коробка номер 4 принадлежит Стелле, фотографу. Три человека на острове имеют при себе фотокамеру, однако двое из них имеют довольно густую бороду. Следовательно: Стелла — это женщина в оранжевой шляпе, которая стоит возле белого дома матросов. Сейчас она разговаривает со своим ассистентом Джо. Мы сообщаем ей о недостающей коробке. Она раздраженно реагирует: «Что-что? Как такое возможно?! Я хочу немедленно поговорить с Керри-Энн, так ей и передайте! И при случае передайте ей в руки эти два снимка — она очень просила меня их сделать»."
1-26,image,,[Bild: Erstes Foto von Stella - ein umgestürzter Behälter],[Image: First photo by Stella - an overturned container],[Зображення: Перше фото Стелли - перекинутий контейнер],[Изображение: Первое фото Стеллы - опрокинутый контейнер]
1-27,image,,[Bild: Zweites Foto von Stella - Notfallschrank],[Image: Second photo by Stella - emergency cabinet],[Зображення: Друге фото Стелли - пожежна шафа],[Изображение: Второе фото Стеллы - пожарный шкаф]
1-28,question,2,"Wir schauen uns die beiden Fotos genauer an und fragen uns, warum Kerry-Ann – unsere Expeditionsleiterin – die Bilder so dringend haben wollte. Die Fotos zeigen das Innere eines Gebäudes.
Frage: Wie heißt das Gebäude, in dem die Fotos gemacht wurden?","We look closely at the two photos and wonder why Kerry-Ann – our expedition leader – wanted the images so urgently. The photos show the interior of a building.
Question: What is the name of the building where the photos were taken?","Ми детально розглядаємо ці два знімки й цікавимося, чому Керрі-Енн — наша керівниця експедиції — так терміново хотіла їх отримати. На фотографіях зафіксовано інтер'єр однієї з будівель.
Запитання: Як називається будівля, в якій було зроблено ці фотографії?","Мы подробно рассматриваем эти два снимка и задаемся вопросом, почему Керри-Энн — наш руководитель экспедиции — так срочно хотела их получить. На фотографиях запечатлен интерьер одного из зданий.
Вопрос: Как называется здание, в котором были сделаны эти фотографии?"
1-29,answer,,"Durch den Abgleich der Gebäude auf der Insel und durch die künstlerische Zeichnung von Ron, unserem Archäologen, lässt sich das Gebäude auf den beiden Fotos eindeutig identifizieren: Es handelt sich um das Labor.","By matching the buildings on the island and through the artistic drawing of Ron, our archaeologist, the building in the two photos can be clearly identified: It is the laboratory (Labor).","Завдяки зіставленню будівель на острові та художньому малюнку Рона, нашого археолога, будівлю на обох фотографіях можна чітко ідентифікувати: це лабораторія («Labor»).","Благодаря сопоставлению зданий на острове и художественному рисунку Рона, нашего археолога, здание на обеих фотографиях можно четко идентифицировать: это лаборатория («Labor»)."
1-30,question,2,"Wir schlendern hinüber zum Labor. Im Inneren treffen wir auf Carmen, von der wir bis dato eigentlich noch gar nicht wissen, warum sie Teil unserer Expeditionsgruppe ist. Carmen zuckt zusammen: „Boah, Leute, habt ihr mich erschreckt! Schaut euch mal diese Blume hier an – die ist rieeeesig!“
Frage: Wer von uns sieht die meisten Blumen dieser Art auf dem eigenen Faltplan?","We stroll over to the laboratory. Inside we meet Carmen, of whom we still don't really know why she is part of our expedition group. Carmen startles: 'Wow, guys, you scared me! Look at this flower here – it's huge!'
Question: Which of us sees the most flowers of this kind on their own folding map?","Ми вирушаємо до лабораторії. Всередині зустрічаємо Кармен, про яку ми досі взагалі не знаємо, чому вона входить до нашої експедиційної групи. Кармен здригається: «Ой, народ, як ви мене налякали! Погляньте на цю квітку — вона ж велечезнюща!»
Запитання: Хто з нас бачить найбільше квіток такого виду на власному розкладному плані?","Мы отправляемся к лаборатории. Внутри встречаем Кармен, о которой мы до сих пор вообще не знаем, почему она входит в нашу экспедиционную группу. Кармен вздрагивает: «Ой, народ, как вы меня напугали! Посмотрите на этот цветок — он же огромный!»
Вопрос: Кто из нас видит больше всего цветов такого вида на своем раскладном плане?"
1-31,answer,,"Person Norden sieht die meisten der besagten Riesenblumen, nämlich 6 Stück. Person Süden sieht 5 Stück, Osten und Westen jeweils 3 Stück. Im Rundgang: Eine Blume steht beim Leuchtturm (sichtbar aus S und W), eine bei der hölzernen Fischerhütte (O), eine beim Buswrack (O), eine südlich davon (O), zwei neben dem Kapitänshaus (W und N), eine beim Lagerfeuer (S und N), eine beim großen Lagunenfelsen (S), eine hinter dem großen, roten Baum im Westen (S und N), eine beim Flugzeugwrack (N), eine neben dem blauen Zelt (N) und eine im Felsbogen unterhalb davon (S).","Person North (Norden) sees the most of the said giant flowers, namely 6 of them. Person South (Süden) sees 5, East (Osten) and West (Westen) each see 3. Breakdown: one flower stands near the lighthouse (visible from S and W), one near the wooden fisherman's hut (O), one near the bus wreck (O), one south of it (O), two next to the Captain's House (W and N), one near the campfire (S and N), one near the large lagoon rock (S), one behind the large red tree in the west (S and N), one near the plane wreck (N), one next to the blue tent (N), and one in the rock arch below it (S).","Гравець «Північ» («Norden») бачить найбільше таких гігантських квіток, а саме 6 штук. Гравець «Південь» («Süden») бачить 5 штук, «Схід» («Osten») та «Захід» («Westen») — по 3 штуки. Де розташовані квіти: одна біля маяка (видно з Пд і Зх), одна біля дерев'яного рибальського будиночка (Сх), одна біля уламків автобуса (Сх), одна на південь від них (Сх), дві біля капітанського будинку (Зх і Пн), одна біля багаття (Пд і Пн), одна біля великої скелі лагуни (Пд), одна за великим червоним деревом на заході (Пд і Пн), одна біля уламків літака (Пн), одна біля синього намету (Пн) і одна в скельній арці трохи нижче (Пд).","Игрок «Север» («Norden») видит больше всего таких гигантских цветов, а именно 6 штук. Игрок «Юг» («Süden») видит 5 штук, «Восток» («Osten») и «Запад» («Westen») — по 3 штуки. Где расположены цветы: один у маяка (виден из Ю и З), один у деревянного рыбацкого домика (В), один у обломков автобуса (В), один к югу от них (В), два возле капитанского дома (З и С), один у костра (Ю и С), один у большой скалы лагуны (Ю), один за большим красным деревом на западе (Ю и С), один у обломков самолета (С), один возле синей палатки (С) и один в скальной арке чуть ниже (Ю)."
